Code,Title,Title_to_merge,Rating
https://www.netflix.com/title/80991158,"""Mirage""",mirage,82
https://www.netflix.com/title/70150473,"""Hunt to Kill""",hunt_to_kill,null
https://www.netflix.com/title/80171678,"""Burn Out""",burn_out,null
https://www.netflix.com/title/81053958,"""Backdraft 2""",backdraft_2,null
https://www.netflix.com/title/81000864,"""Abducted in Plain Sight""",abducted_in_plain_sight,77
https://www.netflix.com/title/81102814,"""Earth and Blood""",earth_and_blood,null
https://www.netflix.com/title/60023071,"""Minority Report""",minority_report,90
https://www.netflix.com/title/80093106,"""The Invisible Guest""",the_invisible_guest,67
https://www.netflix.com/title/80231903,"""In the Shadow of the Moon""",in_the_shadow_of_the_moon,95
https://www.netflix.com/title/60031884,"""Once Upon a Time in the West""",once_upon_a_time_in_the_west,95
https://www.netflix.com/title/80108616,"""Hell or High Water""",hell_or_high_water,97
https://www.netflix.com/title/80991316,"""Avengement""",avengement,83
https://www.netflix.com/title/70042690,"""Alpha Dog""",alpha_dog,54
https://www.netflix.com/title/81000511,"""Revenger""",revenger,40
https://www.netflix.com/title/81154455,"""Article 15""",article_15,89
https://www.netflix.com/title/80099089,"""Skiptrace""",skiptrace,38
https://www.netflix.com/title/80201175,"""Mom""",mom,null
https://www.netflix.com/title/80236341,"""Maria""",maria,null
https://www.netflix.com/title/81112446,"""Badla""",badla,57
https://www.netflix.com/title/81122487,"""Becoming""",becoming,null
https://www.netflix.com/title/80237905,"""In the Tall Grass""",in_the_tall_grass,null
https://www.netflix.com/title/80209024,"""A Secret Love""",a_secret_love,100
https://www.netflix.com/title/80223997,"""Fractured""",fractured,61
https://www.netflix.com/title/80244123,"""Como caído del cielo""",como_caido_del_cielo,null
https://www.netflix.com/title/80202920,"""Someone Great""",someone_great,82
https://www.netflix.com/title/80202874,"""Always Be My Maybe""",always_be_my_maybe,null
https://www.netflix.com/title/80998968,"""Secret Obsession""",secret_obsession,null
https://www.netflix.com/title/80995284,"""LA Originals""",la_originals,86
https://www.netflix.com/title/80227754,"""Love Wedding Repeat""",love_wedding_repeat,31
https://www.netflix.com/title/80194950,"""Wine Country""",wine_country,66
https://www.netflix.com/title/81018455,"""Rattlesnake""",rattlesnake,28
https://www.netflix.com/title/80999729,"""The Last Summer""",the_last_summer,null
https://www.netflix.com/title/81028336,"""Miss Americana""",miss_americana,92
https://www.netflix.com/title/80207371,"""Close""",close,null
https://www.netflix.com/title/81113920,"""Love Aaj Kal""",love_aaj_kal,17
https://www.netflix.com/title/80231468,"""Holiday in the Wild""",holiday_in_the_wild,43
https://www.netflix.com/title/80183187,"""Klaus""",klaus,94
https://www.netflix.com/title/81241248,"""Always a Bridesmaid""",always_a_bridesmaid,null
https://www.netflix.com/title/81090071,"""American Factory""",american_factory,96
https://www.netflix.com/title/80241136,"""Go Karts""",go_karts,78
https://www.netflix.com/title/70221486,"""Sinister""",sinister,null
https://www.netflix.com/title/80223226,"""A Silent Voice""",a_silent_voice,94
https://www.netflix.com/title/70215438,"""House at the End of the Street""",house_at_the_end_of_the_street,14
https://www.netflix.com/title/70142542,"""Insidious""",insidious,66
https://www.netflix.com/title/60024399,"""Bloodsport""",bloodsport,40
https://www.netflix.com/title/80098200,"""Spectral""",spectral,75
https://www.netflix.com/title/22040803,"""GoldenEye""",goldeneye,78
https://www.netflix.com/title/70113538,"""9""",9,null
https://www.netflix.com/title/81157385,"""Saaho""",saaho,9
https://www.netflix.com/title/70117322,"""From Paris with Love""",from_paris_with_love,38
https://www.netflix.com/title/896678,"""Red Dawn""",red_dawn,46
https://www.netflix.com/title/60024927,"""Die Another Day""",die_another_day,57
https://www.netflix.com/title/80065754,"""Standoff""",standoff,null
https://www.netflix.com/title/80058248,"""I Am Wrath""",i_am_wrath,11
https://www.netflix.com/title/80190283,"""Acts of Vengeance""",acts_of_vengeance,55
https://www.netflix.com/title/70228039,"""Lockout""",lockout,null
https://www.netflix.com/title/80134431,"""The Cloverfield Paradox""",the_cloverfield_paradox,20
https://www.netflix.com/title/17016471,"""Tomorrow Never Dies""",tomorrow_never_dies,57
https://www.netflix.com/title/81075519,"""Furie""",furie,95
https://www.netflix.com/title/80081505,"""MI-5""",mi_5,63
https://www.netflix.com/title/80195901,"""Triple Threat""",triple_threat,null
https://www.netflix.com/title/80039602,"""Skin Trade""",skin_trade,25
https://www.netflix.com/title/846071,"""Patriot Games""",patriot_games,72
https://www.netflix.com/title/70021630,"""Sin City""",sin_city,77
https://www.netflix.com/title/80178280,"""6 Days""",6_days,63
https://www.netflix.com/title/80148162,"""The Night Comes for Us""",the_night_comes_for_us,90
https://www.netflix.com/title/81079723,"""Paradise Beach""",paradise_beach,null
https://www.netflix.com/title/80104648,"""Baaghi""",baaghi,null
https://www.netflix.com/title/80113669,"""Wheelman""",wheelman,88
https://www.netflix.com/title/80159955,"""Force 2""",force_2,55
https://www.netflix.com/title/80177776,"""Naam Shabana""",naam_shabana,22
https://www.netflix.com/title/81127333,"""The Brave""",the_brave,78
https://www.netflix.com/title/80218099,"""Truth or Dare""",truth_or_dare,null
https://www.netflix.com/title/80091879,"""Hush""",hush,null
https://www.netflix.com/title/80043834,"""Sinister 2""",sinister_2,16
https://www.netflix.com/title/60024914,"""The Ring""",the_ring,71
https://www.netflix.com/title/80142100,"""The Girl with All the Gifts""",the_girl_with_all_the_gifts,86
https://www.netflix.com/title/60033108,"""Tremors""",tremors,88
https://www.netflix.com/title/81004223,"""Terrifier""",terrifier,69
https://www.netflix.com/title/70270388,"""Would You Rather""",would_you_rather,59
https://www.netflix.com/title/80022613,"""The Autopsy of Jane Doe""",the_autopsy_of_jane_doe,86
https://www.netflix.com/title/80199767,"""Cult of Chucky""",cult_of_chucky,78
https://www.netflix.com/title/80103336,"""The Bye Bye Man""",the_bye_bye_man,18
https://www.netflix.com/title/80109295,"""Veronica""",veronica,90
https://www.netflix.com/title/347365,"""Candyman""",candyman,74
https://www.netflix.com/title/80037280,"""The Witch""",the_witch,null
https://www.netflix.com/title/80002667,"""Before I Wake""",before_i_wake,63
https://www.netflix.com/title/81038598,"""The Influence""",the_influence,null
https://www.netflix.com/title/80049282,"""The Forest""",the_forest,null
https://www.netflix.com/title/70042687,"""Final Destination 3""",final_destination_3,43
https://www.netflix.com/title/80161216,"""Cargo""",cargo,null
https://www.netflix.com/title/70293315,"""The Green Inferno""",the_green_inferno,38
https://www.netflix.com/title/81003460,"""House of the Witch""",house_of_the_witch,null
https://www.netflix.com/title/80198661,"""The Open House""",the_open_house,15
https://www.netflix.com/title/81082119,"""Girl on the Third Floor""",girl_on_the_third_floor,81
https://www.netflix.com/title/81021831,"""Sabrina""",sabrina,null
https://www.netflix.com/title/80097516,"""Friend Request""",friend_request,16
https://www.netflix.com/title/70021631,"""The Amityville Horror""",the_amityville_horror,27
https://www.netflix.com/title/80158148,"""Apostle""",apostle,90
https://www.netflix.com/title/80087354,"""Emelie""",emelie,88
https://www.netflix.com/title/60020865,"""Killer Klowns from Outer Space""",killer_klowns_from_outer_space,78
https://www.netflix.com/title/70113006,"""The Final Destination""",the_final_destination,29
https://www.netflix.com/title/80048977,"""The Invitation""",the_invitation,88
https://www.netflix.com/title/60000393,"""Final Destination""",final_destination,35
https://www.netflix.com/title/80211638,"""The Perfection""",the_perfection,73
https://www.netflix.com/title/60026114,"""Final Destination 2""",final_destination_2,48
https://www.netflix.com/title/81024557,"""Thriller""",thriller,null
https://www.netflix.com/title/70082268,"""Cloverfield""",cloverfield,77
https://www.netflix.com/title/80220228,"""Malicious""",malicious,null
https://www.netflix.com/title/80177400,"""Cam""",cam,93
https://www.netflix.com/title/80174959,"""It Comes at Night""",it_comes_at_night,87
https://www.netflix.com/title/80244532,"""Wildling""",wildling,70
https://www.netflix.com/title/80100772,"""13 Cameras""",13_cameras,77
https://www.netflix.com/title/81015317,"""Tales From the Hood 2""",tales_from_the_hood_2,75
https://www.netflix.com/title/80139506,"""Little Evil""",little_evil,92
https://www.netflix.com/title/81031738,"""Freaks""",freaks,94
https://www.netflix.com/title/563104,"""Groundhog Day""",groundhog_day,96
https://www.netflix.com/title/80023689,"""Ex Machina""",ex_machina,92
https://www.netflix.com/title/80104316,"""The Edge of Seventeen""",the_edge_of_seventeen,94
https://www.netflix.com/title/60036750,"""Kabhi Khushi Kabhie Gham""",kabhi_khushi_kabhie_gham,100
https://www.netflix.com/title/80240715,"""ROMA""",roma,95
https://www.netflix.com/title/80166185,"""Dangal""",dangal,88
https://www.netflix.com/title/1181488,"""As Good as It Gets""",as_good_as_it_gets,85
https://www.netflix.com/title/80227090,"""I Am Mother""",i_am_mother,90
https://www.netflix.com/title/80200267,"""The Ballad of Buster Scruggs""",the_ballad_of_buster_scruggs,91
https://www.netflix.com/title/80057578,"""The Little Prince""",the_little_prince,null
https://www.netflix.com/title/60025061,"""The Pianist""",the_pianist,null
https://www.netflix.com/title/80194610,"""Monster Family""",monster_family,10
https://www.netflix.com/title/60022058,"""Stuart Little 2""",stuart_little_2,81
https://www.netflix.com/title/70026432,"""Tarzan 2""",tarzan_2,33
https://www.netflix.com/title/80195962,"""Duck Duck Goose""",duck_duck_goose,null
https://www.netflix.com/title/70121502,"""The Adventures of Tintin""",the_adventures_of_tintin,74
https://www.netflix.com/title/81021976,"""The Spooky Tale of Captain Underpants Hack-a-ween""",the_spooky_tale_of_captain_underpants_hack_a_ween,null
https://www.netflix.com/title/80161029,"""Sahara""",sahara,null
https://www.netflix.com/title/70202138,"""Arthur Christmas""",arthur_christmas,92
https://www.netflix.com/title/70304298,"""Silent""",silent,null
https://www.netflix.com/title/80147321,"""Below Her Mouth""",below_her_mouth,22
https://www.netflix.com/title/70044867,"""Failure to Launch""",failure_to_launch,24
https://www.netflix.com/title/80142058,"""Naked""",naked,null
https://www.netflix.com/title/70261674,"""About Time""",about_time,68
https://www.netflix.com/title/70139386,"""Country Strong""",country_strong,22
https://www.netflix.com/title/81043813,"""Love Jacked""",love_jacked,22
https://www.netflix.com/title/70039185,"""Just Friends""",just_friends,42
https://www.netflix.com/title/81273583,"""Bheeshma""",bheeshma,null
https://www.netflix.com/title/80184100,"""Set It Up""",set_it_up,92
https://www.netflix.com/title/80239639,"""Sierra Burgess Is a Loser""",sierra_burgess_is_a_loser,61
https://www.netflix.com/title/60036752,"""Kuch Kuch Hota Hai""",kuch_kuch_hota_hai,null
https://www.netflix.com/title/60036235,"""Sleepover""",sleepover,15
https://www.netflix.com/title/60029387,"""For Love or Money""",for_love_or_money,null
https://www.netflix.com/title/80108983,"""Be Somebody""",be_somebody,null
https://www.netflix.com/title/70105370,"""The Invention of Lying""",the_invention_of_lying,56
https://www.netflix.com/title/70101700,"""Ghosts of Girlfriends Past""",ghosts_of_girlfriends_past,27
https://www.netflix.com/title/80113589,"""Amar""",amar,null
https://www.netflix.com/title/81107545,"""Kabir Singh""",kabir_singh,25
https://www.netflix.com/title/81016192,"""Qarib Qarib Singlle""",qarib_qarib_singlle,88
https://www.netflix.com/title/80057969,"""Love""",love,60
https://www.netflix.com/title/80117531,"""When We First Met""",when_we_first_met,43
https://www.netflix.com/title/80160759,"""A Christmas Prince""",a_christmas_prince,73
https://www.netflix.com/title/80172958,"""Newness""",newness,69
https://www.netflix.com/title/81273582,"""Varane Avashyamund""",varane_avashyamund,null
https://www.netflix.com/title/81273579,"""World Famous Lover""",world_famous_lover,null
https://www.netflix.com/title/80178720,"""Kiss & Cry""",kiss_and_cry,null
https://www.netflix.com/title/70278933,"""Her""",her,95
https://www.netflix.com/title/70041162,"""Click""",click,33
https://www.netflix.com/title/70142827,"""Limitless""",limitless,69
https://www.netflix.com/title/60027695,"""The Matrix Reloaded""",the_matrix_reloaded,73
https://www.netflix.com/title/11819467,"""Godzilla""",godzilla,16
https://www.netflix.com/title/70103524,"""Terminator Salvation""",terminator_salvation,33
https://www.netflix.com/title/81023636,"""Time Trap""",time_trap,60
https://www.netflix.com/title/60031303,"""The Matrix Revolutions""",the_matrix_revolutions,35
https://www.netflix.com/title/80021840,"""Selfless""",selfless,null
https://www.netflix.com/title/80097424,"""The Space Between Us""",the_space_between_us,16
https://www.netflix.com/title/80189853,"""Beyond Skyline""",beyond_skyline,63
https://www.netflix.com/title/70287957,"""Earth to Echo""",earth_to_echo,51
https://www.netflix.com/title/60004471,"""Evolution""",evolution,null
https://www.netflix.com/title/80148210,"""The Titan""",the_titan,18
https://www.netflix.com/title/81232370,"""Dark Light""",dark_light,null
https://www.netflix.com/title/60033300,"""Miracle""",miracle,81
https://www.netflix.com/title/81108479,"""Back of the Net""",back_of_the_net,50
https://www.netflix.com/title/80245601,"""DJ Cinderella""",dj_cinderella,null
https://www.netflix.com/title/80102579,"""Full Out""",full_out,null
https://www.netflix.com/title/80223928,"""Malibu Rescue""",malibu_rescue,null
https://www.netflix.com/title/80199682,"""The Christmas Chronicles""",the_christmas_chronicles,65
https://www.netflix.com/title/81206418,"""Full Count""",full_count,null
https://www.netflix.com/title/70292700,"""The Boy Who Cried Werewolf""",the_boy_who_cried_werewolf,null
https://www.netflix.com/title/80187107,"""Raising the Bar""",raising_the_bar,null
https://www.netflix.com/title/70184054,"""Johnny English Reborn""",johnny_english_reborn,38
https://www.netflix.com/title/70305955,"""Dolphin Tale 2""",dolphin_tale_2,65
https://www.netflix.com/title/81214187,"""Jinxed""",jinxed,null
https://www.netflix.com/title/81128579,"""The Platform""",the_platform,82
https://www.netflix.com/title/81103092,"""Running Out of Time""",running_out_of_time,null
https://www.netflix.com/title/81172895,"""93 Days""",93_days,null
https://www.netflix.com/title/81113927,"""Pihu""",pihu,67
https://www.netflix.com/title/80123777,"""Mine""",mine,81
https://www.netflix.com/title/80155477,"""You Get Me""",you_get_me,null
https://www.netflix.com/title/80240537,"""The Red Sea Diving Resort""",the_red_sea_diving_resort,30
https://www.netflix.com/title/18907685,"""Taxi Driver""",taxi_driver,97
https://www.netflix.com/title/81044248,"""Kidnapping Stella""",kidnapping_stella,null
https://www.netflix.com/title/81158163,"""Get In""",get_in,null
https://www.netflix.com/title/81145277,"""Fanatic""",fanatic,null
https://www.netflix.com/title/80155475,"""Message from the King""",message_from_the_king,45
https://www.netflix.com/title/81266458,"""Time to Hunt""",time_to_hunt,67
https://www.netflix.com/title/80187360,"""The Killing of a Sacred Deer""",the_killing_of_a_sacred_deer,79
https://www.netflix.com/title/81221656,"""The Plagues of Breslau""",the_plagues_of_breslau,80
https://www.netflix.com/title/81218079,"""Awake""",awake,24
https://www.netflix.com/title/81039381,"""Andhadhun""",andhadhun,100
https://www.netflix.com/title/81278143,"""Psycho""",psycho,96
https://www.netflix.com/title/80044834,"""Lila & Eve""",lila_and_eve,40
https://www.netflix.com/title/81030976,"""An Affair to Die For""",an_affair_to_die_for,null
https://www.netflix.com/title/80099016,"""iBOY""",iboy,69
https://www.netflix.com/title/80216758,"""See You Yesterday""",see_you_yesterday,95
